"round","investment","la","lb","lc","ld","le","lf","lg","lh","payoff","n","b","exolinks","star","core","session","group","role","bet","totalearnings","treatment","topinfo1","topinfo2","topinfo3"
15,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
40,2,0,0,0,0,0,0,0,0,306,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
68,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"c",200,23.7000007629395,"n8b66EXO",2,1,0
24,2,0,0,0,0,0,1,0,0,16,8,66,1,0,0,16,1,"d",300,25.6000003814697,"n8b66EXO",2,1,0
59,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"e",300,82.3000030517578,"n8b66EXO",2,1,0
16,1,0,1,0,0,0,0,0,0,52,8,66,1,1,0,16,1,"f",300,23.8999996185303,"n8b66EXO",2,1,0
38,1,0,0,0,0,1,0,0,0,52,8,66,1,1,0,16,1,"g",150,21.2000007629395,"n8b66EXO",2,1,0
69,1,0,0,0,0,1,0,0,0,52,8,66,1,1,0,16,1,"h",300,20.2999992370605,"n8b66EXO",2,1,0
26,1,0,0,0,0,0,0,1,0,52,8,66,1,0,0,16,2,"a",200,26,"n8b66EXO",2,1,0
52,1,0,0,0,0,0,0,1,0,27,8,66,1,1,0,16,2,"b",100,24.6000003814697,"n8b66EXO",1,0,0
2,2,0,0,0,0,0,0,1,0,19,8,66,1,0,0,16,2,"c",75,22,"n8b66EXO",3,2,1
40,1,0,0,0,0,0,0,1,0,27,8,66,1,1,0,16,2,"d",0,22.6000003814697,"n8b66EXO",1,0,0
71,0,0,0,0,0,0,0,1,0,136,8,66,1,1,0,16,2,"e",400,22,"n8b66EXO",10,0,0
21,1,0,0,0,0,0,0,1,0,118,8,66,1,0,0,16,2,"f",0,21.2000007629395,"n8b66EXO",2,1,0
67,10,0,0,0,0,0,0,0,0,118,8,66,1,1,1,16,2,"g",600,101.400001525879,"n8b66EXO",10,0,0
12,4,0,0,0,0,0,0,1,0,-91,8,66,1,1,0,16,2,"h",100,22.6000003814697,"n8b66EXO",4,1,0
5,0,0,1,0,1,0,0,0,0,37,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
4,2,0,1,0,1,0,0,0,0,-51,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
7,2,0,0,0,1,0,0,0,0,-3,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
2,2,0,0,0,1,0,0,0,0,151,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",4,3,2
13,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
16,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
9,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
14,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
6,0,0,1,0,1,0,0,0,0,56,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
3,2,0,0,0,1,0,0,0,0,220,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",4,3,2
10,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
1,4,0,0,0,1,0,0,0,0,46,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",4,2,1
12,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
8,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
11,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
17,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
27,2,0,0,0,0,0,1,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",3,2,1
21,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
32,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
25,2,0,0,0,0,0,1,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
19,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
33,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
29,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
28,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
30,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
34,2,0,1,0,0,0,0,0,0,-28,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
26,2,0,0,0,0,0,1,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
31,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
23,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",4,2,1
24,2,0,0,0,0,0,1,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
20,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
18,2,0,1,0,0,0,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
22,2,0,1,0,0,0,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
62,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
64,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
57,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
67,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
58,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
66,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
53,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
52,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
59,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
61,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
54,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
60,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
51,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
55,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
56,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
63,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
65,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
70,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
69,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
72,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
74,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
71,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
75,2,0,0,0,0,0,0,0,0,42,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
68,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
73,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
35,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
42,2,0,0,0,0,1,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
37,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
41,2,0,0,0,0,1,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
39,2,0,0,0,0,1,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
48,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
50,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
44,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
43,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
47,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
49,2,0,0,0,0,1,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
46,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
45,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
36,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
40,2,0,0,0,0,1,0,0,0,16,8,66,1,0,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
38,2,0,0,0,0,1,0,0,0,16,8,66,1,1,0,16,1,"a",10,13.6999998092651,"n8b66EXO",2,1,0
50,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
43,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
42,2,0,0,0,0,0,0,0,0,174,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
36,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
49,2,0,0,0,0,0,0,0,0,42,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
44,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
48,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
45,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
34,0,0,0,0,0,1,0,0,0,280,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
41,2,0,0,0,0,0,0,0,0,240,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
51,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
47,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
38,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
39,2,0,0,0,0,0,0,0,0,42,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
35,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
46,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
37,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
59,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
